feature_id,Name,Type,Known Driver Genes (cna only),Count
"1","ABCB1_mut","coding variant","","265"
"2","ABL2_mut","coding variant","","265"
"3","ACACA_mut","coding variant","","265"
"4","ACVR1B_mut","coding variant","","265"
"5","ACVR2A_mut","coding variant","","265"
"7","AFF4_mut","coding variant","","265"
"8","AHCTF1_mut","coding variant","","265"
"9","AHNAK_mut","coding variant","","265"
"10","AKAP9_mut","coding variant","","265"
"12","ALK_mut","coding variant","","265"
"14","ANK3_mut","coding variant","","265"
"15","APAF1_mut","coding variant","","265"
"16","APC_mut","coding variant","","265"
"17","AQR_mut","coding variant","","265"
"18","ARAP3_mut","coding variant","","265"
"19","ARFGAP3_mut","coding variant","","265"
"20","ARFGEF1_mut","coding variant","","265"
"21","ARFGEF2_mut","coding variant","","265"
"23","ARHGAP29_mut","coding variant","","265"
"24","ARHGEF6_mut","coding variant","","265"
"25","ARID1A_mut","coding variant","","265"
"26","ARID1B_mut","coding variant","","265"
"27","ARID2_mut","coding variant","","265"
"28","ARID4A_mut","coding variant","","265"
"29","ARID4B_mut","coding variant","","265"
"30","ARID5B_mut","coding variant","","265"
"31","ASH1L_mut","coding variant","","265"
"32","ASPM_mut","coding variant","","265"
"33","ASXL1_mut","coding variant","","265"
"34","ASXL2_mut","coding variant","","265"
"35","ATM_mut","coding variant","","265"
"37","ATRX_mut","coding variant","","265"
"36","ATR_mut","coding variant","","265"
"38","AXIN1_mut","coding variant","","265"
"39","AXIN2_mut","coding variant","","265"
"40","B2M_mut","coding variant","","265"
"41","BAP1_mut","coding variant","","265"
"42","BAZ2B_mut","coding variant","","265"
"43","BCLAF1_mut","coding variant","","265"
"44","BCOR_mut","coding variant","","265"
"46","BLM_mut","coding variant","","265"
"47","BMPR2_mut","coding variant","","265"
"48","BNC2_mut","coding variant","","265"
"49","BPTF_mut","coding variant","","265"
"50","BRAF_mut","coding variant","","265"
"51","BRCA1_mut","coding variant","","265"
"52","BRCA2_mut","coding variant","","265"
"53","BRWD1_mut","coding variant","","265"
"54","C15orf55_mut","coding variant","","265"
"55","CAD_mut","coding variant","","265"
"56","CASP8_mut","coding variant","","265"
"57","CCAR1_mut","coding variant","","265"
"58","CCND1_mut","coding variant","","265"
"61","CDH1_mut","coding variant","","265"
"62","CDK12_mut","coding variant","","265"
"63","CDKN1A_mut","coding variant","","265"
"64","CDKN1B_mut","coding variant","","265"
"65","CDKN2A_mut","coding variant","","265"
"66","CEP290_mut","coding variant","","265"
"67","CHD3_mut","coding variant","","265"
"68","CHD4_mut","coding variant","","265"
"69","CHD6_mut","coding variant","","265"
"70","CHD8_mut","coding variant","","265"
"71","CHD9_mut","coding variant","","265"
"72","CHEK2_mut","coding variant","","265"
"73","CIC_mut","coding variant","","265"
"74","CLASP2_mut","coding variant","","265"
"76","CLSPN_mut","coding variant","","265"
"77","CNOT1_mut","coding variant","","265"
"78","CNOT3_mut","coding variant","","265"
"79","COL1A1_mut","coding variant","","265"
"80","CREBBP_mut","coding variant","","265"
"81","CSDE1_mut","coding variant","","265"
"82","CTCF_mut","coding variant","","265"
"83","CTNNB1_mut","coding variant","","265"
"84","CTNND1_mut","coding variant","","265"
"85","CUL2_mut","coding variant","","265"
"87","CUX1_mut","coding variant","","265"
"88","CYLD_mut","coding variant","","265"
"89","DDX3X_mut","coding variant","","265"
"91","DHX15_mut","coding variant","","265"
"92","DHX9_mut","coding variant","","265"
"93","DICER1_mut","coding variant","","265"
"94","DLG1_mut","coding variant","","265"
"95","DNMT3A_mut","coding variant","","265"
"96","EGFR_mut","coding variant","","265"
"98","EIF4G1_mut","coding variant","","265"
"99","EIF4G3_mut","coding variant","","265"
"100","ELF1_mut","coding variant","","265"
"101","ELF3_mut","coding variant","","265"
"102","EP300_mut","coding variant","","265"
"103","EPHA2_mut","coding variant","","265"
"104","EPHA4_mut","coding variant","","265"
"106","ERBB2IP_mut","coding variant","","265"
"105","ERBB2_mut","coding variant","","265"
"107","ERBB3_mut","coding variant","","265"
"112","EZH2_mut","coding variant","","265"
"113","F8_mut","coding variant","","265"
"115","FAM123B_mut","coding variant","","265"
"116","FAT1_mut","coding variant","","265"
"117","FAT2_mut","coding variant","","265"
"118","FBXW7_mut","coding variant","","265"
